,id,name,price,price_ca,price_uk,price_au,discount,year_published,min_players,max_players,min_playtime,max_playtime,min_age,comment_count,num_user_ratings,average_user_rating,average_learning_complexity,average_strategy_complexity,visits,plays,listing_clicks,is_historical_low,players,playtime,name_lower,index
0,o6knI5ct0u,1830: Railways & Robber Barons,52.99,74.99,50.09,89.95,0.24,1986.0,2.0,7.0,180.0,360.0,14.0,0,36,4.006944444444444,3.0,4.5,1908,244,0,False,2-7,180-360,1830: railways & robber barons,
1,eSCVHuUFPs,1846: The Race for the Midwest,42.25,67.95,50.88,0.00,0.39,2005.0,3.0,5.0,240.0,240.0,14.0,0,37,3.885135135135135,4.0,4.0,1089,315,7,False,3-5,240,1846: the race for the midwest,
2,uEPtE5OOOU,1862: Railway Mania in the Eastern Counties,57.99,79.95,0.00,127.99,0.27,2013.0,1.0,8.0,300.0,300.0,12.0,0,9,4.111111111111111,0.0,0.0,1073,71,0,False,1-8,300,1862: railway mania in the eastern counties,
3,Krn8i8C0fI,18Chesapeake,0.00,0.00,0.00,0.00,0.00,2020.0,2.0,6.0,180.0,180.0,13.0,0,11,4.454545454545455,3.0,4.0,870,160,0,False,2-6,180,18chesapeake,
4,eJuGpFzljd,1844 / 1854,75.99,112.95,0.00,0.00,0.20,2016.0,3.0,7.0,300.0,300.0,12.0,0,6,4.0,0.0,0.0,505,5,0,False,3-7,300,1844 / 1854,
5,IKKs90JOkr,1822: The Railways of Great Britain,0.00,35.25,0.00,71.99,0.00,2016.0,3.0,7.0,300.0,420.0,12.0,0,5,4.2,0.0,0.0,370,65,0,False,3-7,300-420,1822: the railways of great britain,
6,PoTU2CknMS,1860: Railways on the Isle of Wight,0.00,0.00,0.00,0.00,0.00,2004.0,2.0,4.0,240.0,240.0,13.0,0,9,3.7777777777777777,0.0,0.0,255,42,0,False,2-4,240,1860: railways on the isle of wight,
7,YTVVvtMEQp,1857,0.00,0.00,0.00,0.00,0.00,2015.0,3.0,6.0,120.0,240.0,0.0,0,4,3.5,0.0,0.0,229,14,0,False,3-6,120-240,1857,
8,65DvpKB0IT,1822CA,0.00,0.00,0.00,0.00,0.00,2018.0,3.0,7.0,360.0,540.0,12.0,0,0,0.0,0.0,0.0,204,4,0,False,3-7,360-540,1822ca,
9,AfMJMn84He,Poseidon,0.00,0.00,0.00,0.00,0.00,2010.0,2.0,2.0,90.0,120.0,12.0,0,7,3.535714285714286,0.0,0.0,194,28,0,True,2,90-120,poseidon,
10,vlaCUeyxNI,1882: Assiniboia,0.00,0.00,0.00,0.00,0.00,2019.0,2.0,6.0,120.0,180.0,14.0,0,3,4.583333333333333,0.0,0.0,174,75,0,False,2-6,120-180,1882: assiniboia,
11,CCVU6BS9gA,1856,0.00,0.00,0.00,0.00,0.00,1995.0,3.0,6.0,300.0,300.0,14.0,0,12,3.6666666666666665,0.0,0.0,162,31,0,False,3-6,300,1856,
12,GvxM0pUNz0,1822: The Railways of Great Britain – 1822+,0.00,0.00,0.00,0.00,0.00,2018.0,3.0,7.0,300.0,420.0,12.0,0,0,0.0,0.0,0.0,158,1,0,False,3-7,300-420,1822: the railways of great britain – 1822+,
13,CpHWBRMSAV,1841,0.00,0.00,0.00,0.00,0.00,1994.0,2.0,8.0,300.0,300.0,14.0,0,5,3.4,0.0,0.0,127,12,0,False,2-8,300,1841,
14,cWPcJKRlZK,1853,237.77,0.00,0.00,0.00,0.00,1989.0,3.0,6.0,180.0,180.0,12.0,0,3,3.0,0.0,0.0,112,9,0,False,3-6,180,1853,
15,21UDfSJKbg,1835,124.99,0.00,0.00,0.00,0.00,1990.0,3.0,7.0,360.0,360.0,16.0,0,5,3.2,0.0,0.0,94,15,0,False,3-7,360,1835,
16,lDOoSEKWG8,1833NE,0.00,0.00,0.00,0.00,0.00,,3.0,5.0,300.0,300.0,,0,0,0.0,0.0,0.0,78,0,0,False,3-5,300,1833ne,
17,HxnsSD8q4t,1836,0.00,0.00,0.00,0.00,0.00,2019.0,3.0,5.0,90.0,150.0,21.0,0,2,4.0,0.0,0.0,72,10,0,False,3-5,90-150,1836,
18,x8wcocZuQB,1879,0.00,0.00,0.00,0.00,0.00,2014.0,3.0,5.0,150.0,150.0,12.0,0,3,3.6666666666666665,0.0,0.0,69,4,0,False,3-5,150,1879,
19,QiDhSB1ZV4,1868,0.00,0.00,0.00,0.00,0.00,2017.0,3.0,5.0,180.0,180.0,0.0,0,4,3.75,0.0,0.0,58,8,0,False,3-5,180,1868,
20,M6wPVEqEuC,18MS: The Railroads Come to Mississippi,0.00,0.00,0.00,0.00,0.00,2020.0,2.0,4.0,,,,0,1,2.75,0.0,0.0,51,18,0,False,2-4,,18ms: the railroads come to mississippi,
21,pR3jQ42aPy,Shikoku 1889,0.00,0.00,0.00,0.00,0.00,2022.0,2.0,6.0,90.0,120.0,14.0,0,0,0.0,3.0,4.0,51,0,0,False,2-6,90-120,shikoku 1889,
22,f2t0bIbJg3,1828,0.00,0.00,0.00,0.00,0.00,2018.0,3.0,5.0,210.0,420.0,16.0,0,1,4.0,0.0,0.0,49,29,0,False,3-5,210-420,1828,
23,EBmYf5NVzC,1870,626.58,0.00,0.00,0.00,0.00,1978.0,2.0,2.0,180.0,180.0,12.0,0,0,0.0,0.0,0.0,41,0,0,True,2,180,1870,
24,ptpfJSjdrm,1834,0.00,0.00,0.00,0.00,0.00,2018.0,3.0,5.0,120.0,240.0,,0,3,3.6666666666666665,0.0,0.0,38,3,0,False,3-5,120-240,1834,
25,d74Pz3XA4M,18 Los Angeles,0.00,0.00,0.00,0.00,0.00,2020.0,2.0,5.0,,,,0,1,3.75,0.0,0.0,17,12,0,False,2-5,,18 los angeles,
0,yqR4PtpO8X,Scythe,52.49,77.95,53.28,95.00,0.42,2016.0,1.0,5.0,90.0,120.0,14.0,0,716,4.223331005586593,3.1176470588235294,3.235294117647059,16831,5233,14,False,1-5,90-120,scythe,
1,5tnoVda0AY,Twilight Imperium: Fourth Edition,94.49,149.97,131.20,167.00,0.37,2017.0,3.0,6.0,240.0,480.0,14.0,0,139,4.303776978417266,3.6666666666666665,4.333333333333333,5248,471,8,False,3-6,240-480,twilight imperium: fourth edition,
2,7o1BvaDKoO,Eclipse,299.99,0.00,0.00,0.00,0.00,2011.0,2.0,6.0,84.0,96.0,13.0,0,215,3.7615813953488377,4.0,5.0,2361,775,0,False,2-6,84-96,eclipse,
3,2nIK13bbh2,Sid Meier's Civilization: The Board Game,79.95,0.00,0.00,0.00,0.00,2010.0,2.0,4.0,120.0,240.0,13.0,0,86,3.6150581395348844,0.0,0.0,964,144,0,False,2-4,120-240,sid meier's civilization: the board game,
4,xR5jNzIUUf,"Heroes of Land, Air, & Sea",0.00,89.95,79.51,158.95,0.00,2018.0,1.0,4.0,30.0,120.0,14.0,0,44,3.710227272727273,0.0,0.0,1985,102,0,False,1-4,30-120,"heroes of land, air, & sea",
5,Cq7HxW69ib,Space Empires 4X,49.99,0.00,0.00,101.95,0.23,2011.0,1.0,4.0,90.0,240.0,12.0,0,30,3.6116666666666664,3.5,3.0,1594,91,0,False,1-4,90-240,space empires 4x,
6,BpP352vFUc,Far Away,45.00,42.95,0.00,64.95,0.00,2020.0,2.0,2.0,90.0,150.0,13.0,0,2,4.5,3.0,3.0,1062,5,0,False,2,90-150,far away,
7,wygjBUtRBv,Conquest of Paradise,0.00,0.00,0.00,99.99,0.00,2007.0,1.0,4.0,60.0,90.0,12.0,0,17,3.3970588235294117,2.0,3.0,707,31,0,False,1-4,60-90,conquest of paradise,
8,yXfLbrMZzI,Uprising: Curse of the Last Emperor,0.00,0.00,0.00,0.00,0.00,2020.0,1.0,4.0,120.0,240.0,16.0,0,1,3.0,0.0,0.0,630,18,0,False,1-4,120-240,uprising: curse of the last emperor,
9,mF1XcVY4Ei,Space Empires: Replicators,0.00,56.99,0.00,94.99,0.00,,1.0,5.0,180.0,240.0,12.0,0,0,0.0,0.0,0.0,431,0,0,False,1-5,180-240,space empires: replicators,
10,T1IEI9o0wx,Homeworlds,0.00,18.95,0.00,27.64,0.00,2001.0,2.0,6.0,15.0,60.0,10.0,0,3,3.0,0.0,0.0,284,23,0,False,2-6,15-60,homeworlds,
11,Uhog7EYxwB,Hyperspace,0.00,0.00,0.00,0.00,0.00,2019.0,2.0,4.0,30.0,150.0,14.0,0,2,4.5,0.0,0.0,273,7,0,False,2-4,30-150,hyperspace,
12,0rVAp3Sjgg,The Final Flicktier,41.95,59.95,0.00,0.00,0.00,2019.0,1.0,4.0,60.0,60.0,10.0,0,2,3.5,0.0,0.0,136,11,0,False,1-4,60,the final flicktier,
13,vVqJ7a4eU3,"Swords & Sails, Rewrite History in 1000 AD",89.00,0.00,0.00,0.00,0.01,2019.0,2.0,7.0,90.0,240.0,10.0,0,0,0.0,0.0,0.0,128,1,0,False,2-7,90-240,"swords & sails, rewrite history in 1000 ad",
14,PcuaaDp32t,Empire of the Stars - 4X Board Game,0.00,0.00,0.00,0.00,0.00,,2.0,4.0,90.0,120.0,,0,0,0.0,0.0,0.0,120,0,0,False,2-4,90-120,empire of the stars - 4x board game,
15,ON1Ux1ux8j,Last Light,0.00,0.00,0.00,0.00,0.00,2022.0,1.0,4.0,60.0,90.0,14.0,0,1,4.0,0.0,0.0,91,4,0,False,1-4,60-90,last light,
16,1uxS9OTJmW,Space Empires: All Good Things,0.00,65.99,0.00,0.00,0.00,2021.0,1.0,6.0,180.0,180.0,12.0,0,0,0.0,0.0,0.0,91,0,0,False,1-6,180,space empires: all good things,
17,V9kIdFuOKB,The Warp,0.00,0.00,0.00,0.00,0.00,2020.0,2.0,6.0,90.0,180.0,,0,0,0.0,0.0,0.0,84,0,0,False,2-6,90-180,the warp,
0,i5Oqu5VZgP,Azul,22.39,38.99,31.99,48.99,0.44,2017.0,2.0,4.0,30.0,60.0,8.0,1,743,3.8596653615563423,2.083333333333333,2.166666666666667,11088,9210,8,False,2-4,30-60,azul,
1,9iBOPn3lES,Patchwork,20.99,29.95,18.28,40.95,-0.05,2014.0,2.0,2.0,15.0,30.0,8.0,0,573,3.7155161806469224,1.5,2.0,5441,5726,0,False,2,15-30,patchwork,
2,VibNUMwsqr,Santorini,30.99,34.95,0.00,35.95,-0.03,2016.0,2.0,4.0,15.0,30.0,8.0,0,480,3.7220969202898524,1.5,2.8333333333333335,5689,4890,6,False,2-4,15-30,santorini,
3,H3yXWu5No0,Dixit,31.99,33.99,23.85,45.00,0.20,2008.0,3.0,6.0,30.0,42.0,8.0,0,476,3.4204455454748275,1.3333333333333333,2.0,2715,2082,7,False,3-6,30-42,dixit,
4,D0OHY8b8Oc,Hive,23.99,31.95,0.00,27.00,0.28,2001.0,2.0,2.0,15.0,30.0,8.0,0,314,3.556063536894741,2.0,3.5,2536,2607,0,False,2,15-30,hive,
5,nlcJOyC0SG,Photosynthesis,29.97,42.95,31.80,50.40,0.25,2017.0,2.0,4.0,30.0,60.0,10.0,0,269,3.4695381755790673,2.0,3.0,2150,744,0,False,2-4,30-60,photosynthesis,
6,3hnL2wtWnM,Chess,11.00,9.95,33.99,75.45,0.26,1475.0,2.0,2.0,60.0,90.0,6.0,0,276,3.3466648805878734,2.25,3.75,814,8754,0,False,2,60-90,chess,
7,XRp8KrEcdC,Hive Pocket,18.99,27.99,16.00,22.79,0.24,2010.0,2.0,2.0,15.0,30.0,8.0,0,180,3.6659722222222233,2.0,3.6666666666666665,2180,1689,0,False,2,15-30,hive pocket,
8,M9xcYNHOGp,Qwirkle,17.49,14.95,7.94,19.83,-0.17,2006.0,2.0,4.0,45.0,60.0,6.0,0,227,3.3257628092546723,0.0,0.0,1177,1281,0,False,2-4,45-60,qwirkle,
9,Ms9ugWj1aA,Dixit: Memories,23.99,25.49,15.99,39.95,0.20,2015.0,3.0,6.0,30.0,36.0,8.0,0,25,3.785,0.0,0.0,302,15,0,False,3-6,30-36,dixit: memories,
10,YDr6ZHfkja,Azul: Stained Glass of Sintra,27.00,38.99,31.80,30.59,0.32,2018.0,2.0,4.0,30.0,45.0,8.0,0,137,3.6853649635036505,2.0,2.0,1476,874,0,False,2-4,30-45,azul: stained glass of sintra,
11,54NFDYrC7y,Reef,27.99,44.99,29.59,50.95,0.30,2005.0,2.0,4.0,30.0,45.0,8.0,0,129,3.5502631578947383,2.0,2.0,1785,753,0,False,2-4,30-45,reef,
12,BlcdRRfSEy,Through the Desert,44.99,0.00,0.00,64.99,0.00,1998.0,2.0,5.0,60.0,90.0,14.0,0,142,3.4844366197183096,0.0,0.0,1528,483,13,False,2-5,60-90,through the desert,
13,CD0uhFDJnN,War Chest,35.98,44.95,37.37,69.03,0.28,2018.0,2.0,4.0,30.0,45.0,14.0,0,73,3.8462328767123286,2.0,3.0,2459,761,0,False,2-4,30-45,war chest,
14,uDl7CD01TP,Samurai,0.00,0.00,0.00,0.00,0.00,1998.0,2.0,4.0,30.0,60.0,10.0,0,130,3.7015274725274723,0.0,0.0,1471,653,0,False,2-4,30-60,samurai,
15,XUeYK7XZwb,Calico,31.29,34.99,29.95,51.99,0.22,2020.0,1.0,4.0,30.0,45.0,13.0,0,59,4.1094915254237305,2.0,3.0,13824,912,6,False,1-4,30-45,calico,
16,qpXxYJnI5K,Dixit: Quest,23.99,25.49,15.99,39.95,0.20,2010.0,3.0,6.0,30.0,36.0,8.0,0,62,3.7661290322580636,0.0,0.0,294,126,0,False,3-6,30-36,dixit: quest,
17,fQ8NGxSBVH,Dixit: Odyssey,0.00,41.99,27.99,50.00,0.00,2011.0,3.0,12.0,30.0,36.0,8.0,0,130,3.5750000000000006,0.0,0.0,852,374,0,False,3-12,30-36,dixit: odyssey,
