;average_learning_complexity;average_strategy_complexity;average_user_rating;comment_count;discount;id;is_historical_low;listing_clicks;max_players;max_playtime;min_age;min_players;min_playtime;name;num_user_ratings;players;plays;playtime;price;price_au;price_ca;price_uk;visits;year_published;name_lower
0;3.0;4.5;4.006944444444444;0;0.24;o6knI5ct0u;False;0;7.0;360.0;14.0;2.0;180.0;1830: Railways & Robber Barons;36;2-7;244;180-360;52.99;89.95;74.99;50.09;1903;1986.0;1830: railways & robber barons
1;4.0;4.0;3.885135135135135;0;0.39;eSCVHuUFPs;False;0;5.0;240.0;14.0;3.0;240.0;1846: The Race for the Midwest;37;3-5;315;240;42.25;0.00;67.95;50.88;1085;2005.0;1846: the race for the midwest
2;0.0;0.0;4.111111111111111;0;0.42;uEPtE5OOOU;False;0;8.0;300.0;12.0;1.0;300.0;1862: Railway Mania in the Eastern Counties;9;1-8;71;300;45.51;127.99;79.95;0.00;1068;2013.0;1862: railway mania in the eastern counties
3;3.0;4.0;4.454545454545455;0;0.00;Krn8i8C0fI;False;0;6.0;180.0;13.0;2.0;180.0;18Chesapeake;11;2-6;160;180;0.00;0.00;0.00;0.00;870;2020.0;18chesapeake
4;0.0;0.0;4.0;0;0.20;eJuGpFzljd;False;0;7.0;300.0;12.0;3.0;300.0;1844 / 1854;6;3-7;5;300;75.99;0.00;112.95;0.00;505;2016.0;1844 / 1854
5;0.0;0.0;4.2;0;0.00;IKKs90JOkr;False;0;7.0;420.0;12.0;3.0;300.0;1822: The Railways of Great Britain;5;3-7;65;300-420;0.00;71.99;35.25;0.00;370;2016.0;1822: the railways of great britain
6;0.0;0.0;3.7777777777777777;0;0.00;PoTU2CknMS;False;0;4.0;240.0;13.0;2.0;240.0;1860: Railways on the Isle of Wight;9;2-4;42;240;0.00;0.00;0.00;0.00;255;2004.0;1860: railways on the isle of wight
7;0.0;0.0;3.5;0;0.00;YTVVvtMEQp;False;0;6.0;240.0;0.0;3.0;120.0;1857;4;3-6;14;120-240;0.00;0.00;0.00;0.00;229;2015.0;1857
8;0.0;0.0;0.0;0;0.00;65DvpKB0IT;False;0;7.0;540.0;12.0;3.0;360.0;1822CA;0;3-7;4;360-540;0.00;0.00;0.00;0.00;204;2018.0;1822ca
9;0.0;0.0;3.535714285714286;0;0.00;AfMJMn84He;True;0;2.0;120.0;12.0;2.0;90.0;Poseidon;7;2;28;90-120;0.00;0.00;0.00;0.00;194;2010.0;poseidon
10;0.0;0.0;4.583333333333333;0;0.00;vlaCUeyxNI;False;0;6.0;180.0;14.0;2.0;120.0;1882: Assiniboia;3;2-6;75;120-180;0.00;0.00;0.00;0.00;174;2019.0;1882: assiniboia
11;0.0;0.0;3.6666666666666665;0;0.00;CCVU6BS9gA;False;0;6.0;300.0;14.0;3.0;300.0;1856;12;3-6;31;300;0.00;0.00;0.00;0.00;162;1995.0;1856
12;0.0;0.0;0.0;0;0.00;GvxM0pUNz0;False;0;7.0;420.0;12.0;3.0;300.0;1822: The Railways of Great Britain – 1822+;0;3-7;1;300-420;0.00;0.00;0.00;0.00;158;2018.0;1822: the railways of great britain – 1822+
13;0.0;0.0;3.4;0;0.00;CpHWBRMSAV;False;0;8.0;300.0;14.0;2.0;300.0;1841;5;2-8;12;300;0.00;0.00;0.00;0.00;127;1994.0;1841
14;0.0;0.0;3.0;0;0.00;cWPcJKRlZK;False;0;6.0;180.0;12.0;3.0;180.0;1853;3;3-6;9;180;249.99;0.00;0.00;0.00;112;1989.0;1853
15;0.0;0.0;3.2;0;0.00;21UDfSJKbg;False;0;7.0;360.0;16.0;3.0;360.0;1835;5;3-7;15;360;124.99;0.00;0.00;0.00;94;1990.0;1835
16;0.0;0.0;0.0;0;0.00;lDOoSEKWG8;False;0;5.0;300.0;;3.0;300.0;1833NE;0;3-5;0;300;0.00;0.00;0.00;0.00;78;;1833ne
