;Unnamed: 0_base;game_id_base;description_base;max_players_base;max_playtime_base;min_age_base;min_players_base;min_playtime_base;name_base;playing_time_base;year_published_base;artist_base;category_base;designer_base;family_base;mechanic_base;publisher_base;average_rating_base;users_rated_base;name_lower_base;Unnamed: 0_api;average_learning_complexity_api;average_strategy_complexity_api;average_user_rating_api;comment_count_api;discount_api;id_api;is_historical_low_api;listing_clicks_api;max_players_api;max_playtime_api;min_age_api;min_players_api;min_playtime_api;name_api;num_user_ratings_api;players_api;plays_api;playtime_api;price_api;price_au_api;price_ca_api;price_uk_api;visits_api;year_published_api;name_lower_api
0;0;1;"Die Macher is a game about seven sequential political races in different regions of Germany. Players are in charge of national political parties, and must manage limited resources to help their party to victory. The winning party will have the most victory points after all the regional elections. There are four different ways of scoring victory points. First, each regional election can supply one to eighty victory points, depending on the size of the region and how well your party does in it. Second, if a party wins a regional election and has some media influence in the region, then the party will receive some media-control victory points. Third, each party has a national party membership which will grow as the game progresses and this will supply a fair number of victory points. Lastly, parties score some victory points if their party platform matches the national opinions at the end of the game.&#10;&#10;The 1986 edition featured 4 parties from the old West Germany and supported 3-4 players. The 1997 edition supports up to 5 players in the re-united Germany and updated several features of the rules as well.  The 2006 edition also supports up to 5 players and adds a shorter 5 round variant and additional rules updates by the original designer.&#10;&#10;Die Macher is #1 in the Valley Games Classic Line&#10;&#10;";5;240;14;3;240;Die Macher;240;1986;Marcus Gschwendtner;Economic,Negotiation,Political;Karl-Heinz Schmiel;Country: Germany,Valley Games Classic Line;Area Control / Area Influence,Auction/Bidding,Dice Rolling,Hand Management,Simultaneous Action Selection;Hans im Glück Verlags-GmbH,Moskito Spiele,Valley Games, Inc.;7.6650800000000014;4498;die macher;20;0.0;0.0;3.6847826086956514;0;0.0;3hGLSZ61Yk;False;0;5.0;240.0;14.0;3.0;240.0;Die Macher;46;3-5;162;240;0.0;0.0;0.0;0.0;741;1986.0;die macher
1;2;3;"Part of the Knizia tile-laying trilogy, Samurai is set in medieval Japan. Players compete to gain the favor of three factions: samurai, peasants, and priests, which are represented by helmet, rice paddy, and Buddha tokens scattered about the board, which features the islands of Japan. The competition is waged through the use of hexagonal tiles, each of which help curry favor of one of the three factions &mdash; or all three at once! Players can make lightning-quick strikes with horseback ronin and ships or approach their conquests more methodically. As each token (helmets, rice paddies, and Buddhas) is surrounded, it is awarded to the player who has gained the most favor with the corresponding group.&#10;&#10;Gameplay continues until all the symbols of one type have been removed from the board or four tokens have been removed from play due to a tie for influence.&#10;&#10;At the end of the game, players compare captured symbols of each type, competing for majorities in each of the three types. Ties are not uncommon and are broken based on the number of other, &quot;non-majority&quot; symbols each player has collected.&#10;&#10;";4;60;10;2;30;Samurai;60;1998;Franz Vohwinkel;Abstract Strategy,Medieval;Reiner Knizia;Asian Theme,Country: Japan,Knizia tile-laying trilogy,Samurai;Area Control / Area Influence,Hand Management,Set Collection,Tile Placement;999 Games,ABACUSSPIELE,Astrel Games,Ceilikan Jogos,Descartes Editeur,Edge Entertainment,Fantasy Flight Games,Galakta,Hans im Glück Verlags-GmbH,Hobby Japan,Lacerta,Lautapelit.fi,Rio Grande Games,Skandinavisk  Spil Kompagni,Wargames Club Publishing;7.44119;12019;samurai;14;0.0;0.0;3.701527472527472;0;0.0;uDl7CD01TP;False;0;4.0;60.0;10.0;2.0;30.0;Samurai;130;2-4;653;30-60;0.0;0.0;0.0;0.0;1470;1998.0;samurai
2;10;11;"Bohnanza is the first in the Bohnanza family of games and has been published in several different editions.&#10;&#10;The cards are colorful depictions of beans in various descriptive poses, and the object is to make coins by planting fields (sets) of these beans and then harvesting them.  To help players match their cards up, the game features extensive trading and deal making.  One of the most unique features of the game is that you cannot rearrange your hand, as you need to play the cards in the order that you draw them.&#10;&#10;The original German edition supports 3-5 players.&#10;&#10;The English version from Rio Grande Games comes with the first edition of the first German expansion included in a slightly oversized box.  One difference in the contents, however, is that bean #22's Weinbrandbohne (Brandy Bean) was replaced by the Wachsbohne, or Wax Bean.  This edition includes rules for up to seven players, like the Erweiterungs-Set, but also adapts the two-player rules of Al Cabohne in order to allow two people to play Bohnanza.&#10;&#10;";7;45;13;2;45;Bohnanza;45;1997;Fréderic Bertrand,Marek Bláha,Andrea Boekhoff,Klemens Franz,Oliver Freudenreich,Inge George,Guido Hoffmann,Alexander Jung,Harald Lieske,Atelier Löwentor,Doris Matthäus,Björn Pertoft,Uwe Rosenberg,Johann Rüttinger,Barbara Stachuletz,Franz Vohwinkel,Markus Wagner;Card Game,Farming,Negotiation;Uwe Rosenberg;Bohnanza,Lookout Bean Games;Hand Management,Set Collection,Trading;AMIGO Spiel + Freizeit GmbH,999 Games,Brain Games,Copag - Cia. Paulista de Artes Gráficas,Corfix,G3,Gigamic,Kaissa Chess & Games,Kikigagne?,Korea Boardgames co., Ltd.,Lautapelit.fi,Lifestyle Boardgames Ltd,Lookout Games,Mercurio,Midgaard Games,Möbius Games,Piatnik,Rio Grande Games,Stratelibri,Swan Panasia Co., Ltd.,Tempo Games;7.06751;28354;bohnanza;28;2.0;2.5;3.4152203574839683;0;0.31;F1aw7kyGTA;True;15;7.0;60.0;13.0;2.0;45.0;Bohnanza;349;2-7;2042;45-60;13.79;13.99;18.89;0.0;2599;1997.0;bohnanza
3;12;13;"In Catan (formerly The Settlers of Catan), players try to be the dominant force on the island of Catan by building settlements, cities, and roads. On each turn dice are rolled to determine what resources the island produces. Players collect these resources (cards)&mdash;wood, grain, brick, sheep, or stone&mdash;to build up their civilizations to get to 10 victory points and win the game.&#10;&#10;Setup includes randomly placing large hexagonal tiles (each showing a resource or the desert) in a honeycomb shape and surrounding them with water tiles, some of which contain ports of exchange. Number disks, which will correspond to die rolls (two 6-sided dice are used), are placed on each resource tile. Each player is given two settlements (think: houses) and roads (sticks) which are, in turn, placed on intersections and borders of the resource tiles. Players collect a hand of resource cards based on which hex tiles their last-placed house is adjacent to. A robber pawn is placed on the desert tile.&#10;&#10;A turn consists of possibly playing a development card, rolling the dice, everyone (perhaps) collecting resource cards based on the roll and position of houses (or upgraded cities&mdash;think: hotels) unless a 7 is rolled, turning in resource cards (if possible and desired) for improvements, trading cards at a port, and trading resource cards with other players. If a 7 is rolled, the active player moves the robber to a new hex tile and steals resource cards from other players who have built structures adjacent to that tile.&#10;&#10;Points are accumulated by building settlements and cities, having the longest road and the largest army (from some of the development cards), and gathering certain development cards that simply award victory points. When a player has gathered 10 points (some of which may be held in secret), he announces his total and claims the win.&#10;&#10;Catan has won multiple awards and is one of the most popular games in recent history due to its amazing ability to appeal to experienced gamers as well as those new to the hobby.&#10;&#10;Die Siedler von Catan was originally published by KOSMOS and has gone through multiple editions. It was licensed by Mayfair and has undergone four editions as The Settlers of Catan. In 2015, it was formally renamed Catan to better represent itself as the core and base game of the Catan series. It has been re-published in two travel editions, portable edition and compact edition, as a special gallery edition (replaced in 2009 with a family edition), as an anniversary wooden edition, as a deluxe 3D collector's edition, in the basic Simply Catan, as a beginner version, and with an entirely new theme in Japan and Asia as Settlers of Catan: Rockman Edition. Numerous spin-offs and expansions have also been made for the game.&#10;&#10;";4;120;10;3;60;Catan;120;1995;Volkan Baga,Tanja Donner,Pete Fenlon,Jason Hawkins,Michaela Kienle,Harald Lieske,Michael Menzel,Marion Pott,Matt Schwabel,Franz Vohwinkel,Stephen Graham Walsh;Negotiation;Klaus Teuber;Catan,Promotional Board Games;Dice Rolling,Hand Management,Modular Board,Route/Network Building,Trading;KOSMOS,999 Games,Albi,Astrel Games,Bergsala Enigma,Brain Games,Capcom Co., Ltd.,Catan Studio,Competo / Marektoy,danspil,Descartes Editeur,Devir,Dexy Co,Eurogames,Filosofia Éditions,Galakta,Giochi Uniti,GP Games,Grow Jogos e Brinquedos,HaKubia,Hanayama,Hobby World,Ideal Board Games,IntelliGames.BG,Ísöld ehf.,Kaissa Chess & Games,Korea Boardgames co., Ltd.,L&M Games,Laser plus,Lautapelit.fi,Logojogos,Mayfair Games,Ninive Games,Piatnik,Smart Ltd,Stupor Mundi,Swan Panasia Co., Ltd.,Tilsit,Top Toys,TRY SOFT;7.265689999999998;67655;catan;1;2.090909090909091;2.5454545454545454;3.2540732601424156;0;0.29;OIXt3DmJU0;False;10;4.0;90.0;10.0;3.0;45.0;Catan;856;3-4;5113;45-90;39.19;51.0;36.97;35.78;7203;1995.0;catan
4;17;18;"The robots of the Robo Rally automobile factory spend their weekdays toiling at the assembly line. They put in hard hours building high-speed supercars they never get to see in action. But on Saturday nights, the factory becomes a world of mad machines and dangerous schemes as these robots engage in their own epic race.It takes speed, wits, and dirty tricks to become a racing legend! Each player chooses a robot and directs its moves by playing cards. Chaos ensues as all players reveal the cards they've chosen. Players face obstacles like industrial lasers, gaping pits, and moving conveyer belts -- but those can also be used to their advantage! Each player aims to make it to each of the checkpoints in numerical order. The first player to reach all of the checkpoints wins. (source: http://avalonhill.wizards.com/games/robo-rally/comingsoon)&#10;&#10;&#10;&#10;In RoboRally players each control a different robot in a race through a dangerous factory floor. Several goals will be placed on the board and you must navigate your robot to them in a specific order. The boards can be combined in several different ways to accommodate different player counts and races can be as long or as short as player's desire.&#10;&#10;In general, players will first fill all of their robot's &quot;registers&quot; with facedown movement cards. This happens simultaneously and there is a time element involved. If you don't act fast enough you are forced to place cards randomly to fill the rest. Then, starting with the first register, everyone reveals their card. The card with the highest number moves first. After everyone resolves their movement they reveal the next card and so on. Examples of movement cards may be to turn 90 degrees left or right, move forward 2 spaces, or move backward 1 space though there are a bigger variety than that. You can plan a perfect route, but if another robot runs into you it can push you off course. This can be disastrous since you can't reprogram any cards to fix it!&#10;&#10;Robots fire lasers and factory elements resolve after each movement and robots may become damaged. If they take enough damage certain movement cards become fixed and can no longer be changed. If they take more they may be destroyed entirely. The first robot to claim all the goals in the correct order wins, though some may award points and play tournament style.&#10;&#10;The game was reprinted by Avalon Hill (Hasbro/WotC) in 2005.&#10;&#10;";8;120;12;2;45;RoboRally;120;1994;Peter Bergting,Bob Carasca,Phil Foglio,Daniel Gelon,Jennifer Lathrop,Paul Sottosanti,Franz Vohwinkel,Peter Whitley;Miniatures,Racing,Science Fiction;Richard Garfield;Robots;Action / Movement Programming,Grid Movement,Modular Board,Simultaneous Action Selection;999 Games,AMIGO Spiel + Freizeit GmbH,Avalon Hill (Hasbro),Hasbro,Play Factory,Wizards of the Coast;7.15355;19371;roborally;1;0.0;0.0;3.2554054054054045;0;0.0;x0sk1fJyaz;False;0;8.0;120.0;12.0;2.0;45.0;Roborally;185;2-8;548;45-120;0.0;49.95;199.99;0.0;521;1994.0;roborally
5;18;19;"A long time ago, in a village far, far away, some disturbed townsfolk decided to destroy their entire town in order to rid themselves of an evil menace (it's technically a dog-mouse, but I think it's an idiomatic thing).  Anyway, so the villagers rebuilt all the buildings in the town (including their precious outhouses), but forgot to include city walls, a river, or roads.  To rectify this, players lay tiles with one of these three things onto the board, and any building caught underneath them is automatically eliminated, except for outhouses.  When an outhouse would be destroyed, players take a vote on whether to place that particular section.  Each player is trying to retain the most of one type of building, and once all the pieces have been placed the winner is the person with the highest valued buildings still standing.&#10;&#10;Wacky, Wacky West re-make description:&#10;&#10;Fans of Klaus Teuber will be interested in this remake/redesign of Drunter und Dr&uuml;ber, a 1991 Spiel des Jahres winner.&#10;&#10;&#10;Just south of nowhere, there's the junction of the Mayfair &amp; Rossdorf RR and the Turvy Trunk Line. Springing up from the desert like a tumbleweed lies the eccentric little town of Rossdorf. Like most western towns, Rossdorf has a Land Agent: Guy Dough, the brother of that wicked varmint Black Benny. A shrewd opportunist, Guy's done sold all the town land ('ceptin' the outhouses) four times over! Every acre in town that ain't got an outhouse on it is owned by the miners, the railroads, AND the fort captain. Just about a year ago, miners digging in the shadow of Fort Rossdorf struck the mother lode! But it wasn't gold, and it wasn't silver. No, my friend, it was just a little spring. Not any ordinary spring, though! It was a torrent of that mind-marbling drink the locals call &quot;Wacky Water!&quot; &#10;&#10;&#10;Now that water's done what the sun and the wind couldn't do: it's made those landholders brave enough to take matters into their own hands. Now they'll use whatever means they can to bowl over the competition and lay claim to the only fertile spots left in town! Now the only thing stoppin' 'em is the Town Charter Amendment #5, which states: &quot;no landholder may move, remove, or detonate any outhouse without a majority vote of the Town Citizens...&quot; Now one thing's for sure: something's gonna stink in Rossdorf, purty darn soon.....&#10;&#10;&#10;In Wacky Wacky West you and your fellow townfolk place track tiles, street tiles, and river tiles hoping to destroy your rivals' buildings. Every time someone tries to build over a precious outhouse, the town votes! You try to enlist your supporters (represented by cards) to vote with you to stop or encourage the play of certain tiles-perhaps saving some of your buildings or taking out those of your dastardly opponents.&#10;&#10;";4;45;9;2;30;Wacky Wacky West;45;1991;Chris McGloughlin,Franz Vohwinkel;American West,Bluffing,City Building;Klaus Teuber;;Tile Placement,Voting;Hans im Glück Verlags-GmbH,Mayfair Games;6.31166;1459;wacky wacky west;35;0.0;0.0;2.8571428571428568;0;0.0;MJ7RmhalO3;False;0;4.0;45.0;9.0;2.0;30.0;Wacky Wacky West;7;2-4;30;30-45;0.0;0.0;0.0;0.0;133;1991.0;wacky wacky west
6;28;30;"An epic fantasy quest to recover an ancient magic scepter from a tyrant king in his Dark Tower, brought to life in electronic form.&#10;&#10;To vanquish the usurper, players search the four realms of the circular game board for three keys to unlock the tower's gate.  On this journey, there are battles to be fought against roving bands of brigands, dragons, plague and hunger.  There are bazaars to visit to purchase supplies and assistants for the quest.  There are uncharted territories to get lost in and tombs and ruins to plunder.  And there is a mighty army to be raised before the player can lay seige to the tower and fight either to glorious victory or crushing defeat.&#10;&#10;Dated and primitive by today's standards, Dark Tower was nevertheless an astonishing achievement when it was released in 1981.  Every aspect of the game was monitored by a small computer inside the black plastic shell of the tower itself, an unheard of innovation at the time.  Players input their moves on a small membrane keypad each turn and the computer took over from there, doing everything from conducting the progress of battles to keeping track of how much (or little) food was left to feed the players' always hungry warriors.  It could even play recognizable pieces of music at significant points during the game.&#10;&#10;";4;90;10;1;90;Dark Tower;90;1981;Bob Pepper;Adventure,Electronic,Exploration,Fantasy,Fighting;Roger Burten,Alan Coleman,Vincent A. A. J. Erato;3D Games;Area Movement,Press Your Luck;Milton Bradley;6.6435;1052;dark tower;77;3.0;1.0;3.0526315789473686;0;0.0;CWKDKkR2Tf;False;0;4.0;90.0;10.0;1.0;90.0;Dark Tower;19;1-4;7;90;0.0;0.0;0.0;0.0;164;1981.0;dark tower
7;37;41;"In this Sid Sackson classic, players must press their luck with dice and choose combinations tactically to close out three columns. The board has one column for each possible total of two six-sided dice, but the number of spaces in each column varies: the more probable a total, the more spaces in that column and the more rolls it takes to complete. On their turn, a player rolls four dice and arranges them in duos: 1 4 5 6 can become 1+4 and 5+6 for 5 &amp; 11, 1+5 and 4+6 for 6 &amp; 10, or 1+6 and 4+5 for 7 &amp; 9. The player places or advances progress markers in the open column(s) associated with their chosen totals, then chooses whether to roll again or end their turn and replace the progress markers with markers of their color. A player can only advance three different columns in a turn and cannot advance a column which any player has closed out by reaching the end space; if a roll doesn&rsquo;t result in any legal plays, the turn ends with that turn&rsquo;s progress lost.&#10;&#10;A predecessor from 1974, The Great Races, exists as a paper-and-pencil game.&#10;&#10;";4;30;9;2;30;Can't Stop;30;1980;Gabriel Laulunen (II),Walter Pepperle,Klaus Wilinski;Dice;Sid Sackson;;Dice Rolling,Press Your Luck;Asmodee,Borras Plana S.A.,Clipper,Eagle-Gryphon Games,Editrice Giochi,Face2Face Games,franjos Spieleverlag,Miro Company,New Games Order, LLC,Palitoy Ltd.,Parker Brothers,Ravensburger Spieleverlag GmbH;6.85659;9095;can't stop;23;2.0;2.0;3.3816770186335403;0;-0.51;fjEr4WSlRJ;False;0;4.0;45.0;9.0;2.0;30.0;Can't Stop;161;2-4;4362;30-45;60.42;72.95;0.0;0.0;2073;1980.0;can't stop
8;38;42;"Regarded by many as Reiner Knizia's masterpiece, Tigris &amp; Euphrates is set in the ancient fertile crescent with players building civilizations through tile placement. Players are given four different leaders: farming, trading, religion, and government. The leaders are used to collect victory points in these same categories. However, your score at the end of the game is the number of points in your weakest category, which encourages players not to get overly specialized. Conflict arises when civilizations connect on the board, i.e., external conflicts, with only one leader of each type surviving such a conflict. Leaders can also be replaced within a civilization through internal conflicts.&#10;&#10;Starting in the Mayfair edition from 2008, Tigris &amp; Euphrates included a double-sided game board and extra components for playing an advanced version of the game. This &quot;ziggurat expansion&quot;, initially released as a separate item in Germany for those who already owned the base game, is a special monument that extends across five spaces of the board. The monument can be built if a player has a cross of five civilization tokens of the same color by discarding those five tokens and replacing them with the ziggurat markers, placing a ziggurat tower upon the middle tile. The five ziggurat markers cannot be destroyed. All rules regarding monuments apply to the ziggurat monument as well. If your king is inside the kingdom of the ziggurat, you will get one victory point in a color of your choice at the end of your turn.&#10;&#10;Some versions of Tigris &amp; Euphrates are listed as being for 2-4 players, while others incorrectly state that they're for 3-4 players. Tigris &amp; Euphrates is part of what is considered Reiner Knizia's tile-laying trilogy.&#10;&#10;";4;90;12;2;90;Tigris & Euphrates;90;1997;Bascu,Christine Conrad,Doris Matthäus,Tom Thiel,Ricarda Thiel,Stephen Graham Walsh;Abstract Strategy,Ancient,Civilization,Territory Building;Reiner Knizia;Desert Theme,Knizia tile-laying trilogy,Middle Eastern Theme,Rivers: Euphrates,Rivers: Tigris,Tigris & Euphrates;Area Control / Area Influence,Hand Management,Set Collection,Tile Placement;Hans im Glück Verlags-GmbH,999 Games,Devir,Edge Entertainment,Fantasy Flight Games,Giochi Uniti,Heidelberger Spieleverlag,Lacerta,Matagot,Mayfair Games,Pegasus Spiele,Smart Ltd,Top Licence Games,Wargames Club Publishing;7.723789999999998;20166;tigris & euphrates;9;0.0;0.0;3.7778771760154712;0;0.0;zNDNB2oGkS;False;0;4.0;120.0;12.0;2.0;90.0;Tigris & Euphrates;220;2-4;1049;90-120;249.99;0.0;0.0;0.0;3957;1997.0;tigris & euphrates
9;40;44;"This game adds a very interesting twist to the standard trick-taking genre.  There are five suits and players must follow suit, if they can.  However, the winner of the trick is the highest card played, regardless of suit.  The winner gets all the cards from the trick, minus the card he won it with.  That card is given to the player that played the lowest card.  After all tricks have been played, the scoring begins.  Players score the face-value of the cards in the suits that they only collected one or two of, and one point per card for suits with more than two.  The player with the most points after a number of hands wins the game.&#10;&#10;";6;60;8;3;60;David & Goliath;60;1998;Alexander Bradley,Oliver Freudenreich;Card Game;Reinhard Staupe;;Trick-taking;Berliner Spielkarten,Pegasus Spiele,Playroom Entertainment,Wargames Club Publishing;6.4529;1418;david & goliath;6;0.0;0.0;3.403508771929825;0;0.0;BuYtJoD9Ts;False;0;6.0;60.0;8.0;3.0;60.0;David & Goliath;19;3-6;45;60;0.0;0.0;0.0;0.0;159;1998.0;david & goliath
