;index;game_id_base;max_players_base;max_playtime_base;min_age_base;min_players_base;min_playtime_base;year_published_base;category_base;average_rating_base;users_rated_base;average_learning_complexity_api;average_strategy_complexity_api;min_age_category_base;year_published_category_base;users_rated_log_base;economic_d;negotiation_d;cardgame_d;fantasy_d;abstractstrategy_d;medieval_d;ancient_d;exploration_d;bluffing_d;sciencefiction_d;dice_d;fighting_d;adventure_d;wargame_d;humor_d;partygame_d;animals_d;childrensgame_d;deduction_d;movies/tv/radiotheme_d;price_api;price_ca_api;price_uk_api;price_au_api;discount_api;listing_clicks_api
0;0;1;5;240;14;3;240;1986;Economic,Negotiation,Political;7.665080000000001;4498;0.0;0.0;13-17;1981-1990;8.411388132519262;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1;1;2;4;30;12;3;30;1981;Card Game,Fantasy;6.60815;478;0.0;0.0;8-12;1981-1990;6.169610732491456;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69.99;0.0;0.0;0.0;0.0;0
2;4;3;4;60;10;2;30;1998;Abstract Strategy,Medieval;7.44119;12019;0.0;0.0;8-12;1991-2000;9.39424400995279;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3;7;4;4;60;12;2;60;1992;Ancient;6.60675;314;0.0;0.0;8-12;1991-2000;5.749392985908253;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
4;8;5;6;90;12;3;90;1964;Economic;7.3583;15195;0.0;0.0;8-12;1961-1970;9.628721705350893;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.99;40.49;0.0;49.99;-1.0;8
5;9;7;2;20;8;2;20;1978;Abstract Strategy;6.50534;2751;0.0;0.0;8-12;1971-1980;7.919719760924575;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.99;0.0;0.0;0.0;0.0;0
6;10;9;4;90;13;2;90;1998;Exploration;6.51776;1263;0.0;0.0;13-17;1991-2000;7.141245122350491;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.95;23.78;0.0;0.0;0.0;0
7;11;10;6;60;10;2;60;1998;Fantasy,Travel;6.749960000000001;6729;0.0;0.0;8-12;1991-2000;8.814181823188319;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;207.84;0.0;0.0;0.0;0
8;12;11;7;45;13;2;45;1997;Card Game,Farming,Negotiation;7.06751;28354;2.0;2.5;13-17;1991-2000;10.252523392677578;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.79;18.89;0.0;13.99;0.31;12
9;13;12;5;60;12;2;45;1999;Ancient,Mythology;7.47505;15378;0.0;0.0;8-12;1991-2000;9.640693195592126;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;238.85;37.97;0.0;0.0;0.0;0
